row_number,reasons,CallID,When Reported,Typ,Nature,P,Location,Cty
40,'Nature' garbled/scrambled text,19C062697,06:28:41 07/19/19,f,ZZFwy Acc w/inj,1,91 WB AUTO CENTER 71,RVC
171,'Location' garbled/scrambled text,19C062869,14:57:57 07/19/19,l,Area Check,3,PARKVIEW DR & TRIADOR ST; SUSPP,COR
185,'Nature' garbled/scrambled text,19C062886,15:48:43 07/19/19,f,ZZFwy Diff Brth,1,15 NB ONTARIO MAGNOLIA,COR
193,'Nature' garbled text (embedded symbol),19C062894,16:01:28 07/19/19,f,ZZFaint/Uncons,1,1003 W FRANCIS ST,COR
208,'Location' garbled/scrambled text,19C062909,16:52:31 07/19/19,l,Forgery Past,4,2083 ESTRADO DR; FRNT COUNTER,COR
227,'Nature' garbled/scrambled text,19C062931,18:11:25 07/19/19,f,ZZFwy Acc w/inj,1,15 NB MAGNOLIA HIDDEN VALLEY;MC VS VEH,COR
338,'Nature' garbled/scrambled text,19C063068,00:56:08 07/20/19,f,ZZFwy Acc w/inj,1,91 EB PASEO GRANDE LINCOLN,COR
346,'Location' garbled/scrambled text,19C063080,01:42:36 07/20/19,f,ZZFwy H/R Inj,1,91 EB SERFAS CLUB 6TH STMAPLE,COR
366,'Location' garbled/scrambled text,19C063103,04:01:02 07/20/19,l,Alarm Call,2,521 PRINCELAND CT; ICSN INC,COR
434,'Location' garbled/scrambled text,19C063194,11:33:32 07/20/19,f,ZZFwy H/R Inj,1,15 NB CAJALCO EL CERRITO;MC DOWN,COR
450,'Nature' garbled text (embedded symbol),19C063212,13:12:20 07/20/19,f,ZZFaint/Uncons,1,2128 SUMMERSET ST,COR
487,'Nature' garbled text (embedded symbol),19C063257,15:39:52 07/20/19,f,ZZFaint/Uncons,1,1717 TAMARRON DR,COR
619,'Location' garbled/scrambled text,19C063429,22:37:08 07/20/19,l,Traffic Stop,4,91 EB SERFAS CLUB 6TH STMAPLE,COR
638,'Location' garbled/scrambled text,19C063450,23:20:08 07/20/19,l,Loud Noise,3,2024 CORDOZA ST; MUSIC & FIREWRKS,COR
725,'Nature' garbled text (embedded symbol),19C063567,09:24:01 07/21/19,f,ZZFaint/Uncons,1,670 CANTERBURY CIR,COR
737,'Location' garbled/scrambled text,19C063585,10:32:15 07/21/19,l,Auto Tampr Past,4,320 REED CIR;3D FASTNERS,COR
787,'Location' garbled/scrambled text,19C063658,14:05:53 07/21/19,lf,Battery,1,1533 VANDAGRIFF WAY;SUICIDAL SUBJ,COR
838,'Nature' garbled/scrambled text; 'Location' garbled/scrambled text,19C063736,18:08:04 07/21/19,f,ZZFwy Acc w/inj,1,91 EB SERFAS CLUB 6TH STMAPLE,COR
858,'Nature' garbled text (embedded symbol),19C063783,19:37:01 07/21/19,f,ZZFaint/Uncons,1,803 MAGNOLIA AVE # 331,COR
1022,'Nature' garbled text (embedded symbol),19C063990,10:08:53 07/22/19,f,ZZFaint/Uncons,1,1552 BENTLEY DR,COR
1231,'Nature' garbled text (embedded symbol),19C064275,03:58:43 07/23/19,f,ZZFaint/Uncons,1,256 GREENGATE ST,COR
1238,'Nature' garbled/scrambled text,19C064282,04:32:13 07/23/19,f,ZZFwy Acc w/inj,1,15 SB HIDDEN VALLEY MAGNOLIA,COR
1287,'Location' garbled/scrambled text,19C064348,09:07:21 07/23/19,l,Fraud Past,4,855 VIEWTOP CIR;LL CONT,COR
1349,'Nature' garbled text (embedded symbol),19C064435,13:15:28 07/23/19,f,ZZFaint/Uncons,1,2336 S MAIN ST; VALENCIA TERRACE,COR
1397,'Location' garbled/scrambled text,19C064502,16:46:31 07/23/19,l,Fraud Past,4,524 HAYES CIR;PD LOBY,COR
1483,'Nature' garbled text (embedded symbol),19C064614,02:24:44 07/24/19,f,ZZFaint/Uncons,1,828 W NINTH ST,COR
1597,'Nature' garbled text (embedded symbol),19C064760,13:01:47 07/24/19,f,ZZFaint/Uncons,1,650 S MAIN ST; CITY LIBRARY,COR
1631,'Location' garbled/scrambled text,19C064813,15:13:51 07/24/19,l,Alarm Call,2,1575 LIBERTY DR;SINGH RESD,COR
1657,'Nature' garbled text (embedded symbol),19C064855,16:32:57 07/24/19,f,ZZFaint/Uncons,1,1430 E SIXTH ST;six-pac recycling,COR
1674,'Nature' garbled/scrambled text,19C064884,17:32:16 07/24/19,f,ZZFwy Acc w/inj,1,91 EB MAIN MCKINLEY,COR
1866,'Nature' garbled text (embedded symbol),19C065166,11:04:18 07/25/19,f,ZZFaint/Uncons,1,505 E NINTH ST,COR
1899,'Location' garbled/scrambled text,19C065210,12:34:23 07/25/19,l,Petty Theft P,4,1406 S VICENTIA AVE;LL CONT,COR
2198,'Nature' garbled/scrambled text,19C065652,14:27:03 07/26/19,f,ZZFwy Acc w/inj,1,91 EB LINCOLN MAIN,COR
2241,'Location' garbled/scrambled text,19C065709,16:39:01 07/26/19,l,Fraud Past,4,2412 PALISADES DR;301;PD LOBY,COR
2242,'Nature' garbled/scrambled text; 'Location' garbled/scrambled text,19C065711,16:41:23 07/26/19,f,ZZFwy Acc w/inj,1,91 EB SERFAS CLUB 6TH STMAPLE,COR
2244,'Location' garbled/scrambled text,19C065713,16:46:43 07/26/19,l,Reckless Driver,3,91 EB SERFAS CLUB 6TH STMAPLE,COR
